company_name,operation_in_CA,operation_reasoning,trader_in_CA,trader_reasoning,google_link
QV Investors,1.0,"My knowledge base confirms that QV Investors is a Canadian investment management firm based in Calgary, Alberta. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=QV%20Investors+careers
Paradigm Capital,1.0,"My knowledge base confirms that Paradigm Capital operates in Canada. It is a Canadian investment dealer based in Toronto, providing various financial services including investment banking and asset management.",,,https://www.google.com/search?q=Paradigm%20Capital+careers
AGF Investments,1.0,"My knowledge base confirms that AGF Investments is a Canadian investment management firm headquartered in Toronto, Ontario. It operates primarily in Canada and offers a range of investment solutions, including mutual funds and institutional investment services.",,,https://www.google.com/search?q=AGF%20Investments+careers
Sprott Inc.,1.0,"My knowledge base confirms that Sprott Inc. operates in Canada. It is a Canadian asset management company that specializes in precious metals and alternative investments, and it is headquartered in Toronto, Ontario.",,,https://www.google.com/search?q=Sprott%20Inc.+careers
Third Eye Capital,1.0,"My knowledge base confirms that Third Eye Capital operates in Canada, specifically focusing on providing financing solutions and investment management services within the Canadian market.",,,https://www.google.com/search?q=Third%20Eye%20Capital+careers
Bristol Gate Capital Partners,1.0,"My knowledge base confirms that Bristol Gate Capital Partners operates in Canada. The firm is based in Toronto and provides investment management services, indicating a strong presence in the Canadian financial market.",,,https://www.google.com/search?q=Bristol%20Gate%20Capital%20Partners+careers
Third Eye Capital,1.0,"My knowledge base confirms that Third Eye Capital operates in Canada, as it is a Canadian investment management firm based in Toronto.",,,https://www.google.com/search?q=Third%20Eye%20Capital+careers
Marret Asset Management Inc.,1.0,"My knowledge base confirms that Marret Asset Management Inc. operates in Canada. It is a Canadian investment management firm based in Toronto, specializing in fixed income and alternative investment strategies.",,,https://www.google.com/search?q=Marret%20Asset%20Management%20Inc.+careers
Caldwell Investment Management,1.0,"My knowledge base confirms that Caldwell Investment Management operates in Canada. It is a Canadian investment management firm based in Toronto, specializing in various investment strategies and services for clients in Canada.",,,https://www.google.com/search?q=Caldwell%20Investment%20Management+careers
Lawrence Park Asset Management,1.0,"My knowledge base confirms that Lawrence Park Asset Management operates in Canada, specifically focusing on investment management services within the Canadian market.",,,https://www.google.com/search?q=Lawrence%20Park%20Asset%20Management+careers
Crystal Wealth Management,1.0,"My knowledge base confirms that Crystal Wealth Management operates in Canada, specifically providing wealth management services to clients in the country.",,,https://www.google.com/search?q=Crystal%20Wealth%20Management+careers
Polar Asset Management Partners,1.0,"My knowledge base confirms that Polar Asset Management Partners is a Canadian investment management firm based in Toronto, Canada. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Polar%20Asset%20Management%20Partners+careers
Sagard Holdings,1.0,"My knowledge base confirms that Sagard Holdings operates in Canada. It is a Canadian investment firm that focuses on private equity and venture capital investments, and it has a significant presence in the Canadian market.",,,https://www.google.com/search?q=Sagard%20Holdings+careers
Northleaf Capital Partners,1.0,My knowledge base confirms that Northleaf Capital Partners is a global private equity and infrastructure investment firm that operates in Canada. They have a significant presence in the Canadian market and are known for their investments in various sectors within the country.,,,https://www.google.com/search?q=Northleaf%20Capital%20Partners+careers
West Face Capital,1.0,"My knowledge base confirms that West Face Capital is a Canadian investment management firm based in Toronto, Ontario. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=West%20Face%20Capital+careers
Lincluden Investment Management,1.0,"My knowledge base confirms that Lincluden Investment Management is a Canadian investment management firm based in Ontario, Canada. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Lincluden%20Investment%20Management+careers
Goodwood Inc.,1.0,"My knowledge base confirms that Goodwood Inc. operates in Canada, specifically as an investment management firm based in Toronto.",,,https://www.google.com/search?q=Goodwood%20Inc.+careers
Canadian Utilities Limited,1.0,"Canadian Utilities Limited is a well-known company that operates in Canada, providing utility services such as electricity and natural gas. It is part of the ATCO Group and has a significant presence in the Canadian market.",,,https://www.google.com/search?q=Canadian%20Utilities%20Limited+careers
Canadian Imperial Bank of Commerce (CIBC),1.0,"My knowledge base confirms that CIBC is one of the major banks in Canada, and it operates extensively within the country, providing a wide range of financial services.",,,https://www.google.com/search?q=Canadian%20Imperial%20Bank%20of%20Commerce%20%28CIBC%29+careers
ATB Financial,1.0,"My knowledge base confirms that ATB Financial is a financial institution based in Alberta, Canada. It provides a range of financial services, including banking and investment services, specifically tailored for the Canadian market.",,,https://www.google.com/search?q=ATB%20Financial+careers
Equitable Bank,1.0,"My knowledge base confirms that Equitable Bank is a Canadian financial institution headquartered in Toronto, Ontario. It operates primarily in Canada, providing various banking and financial services.",,,https://www.google.com/search?q=Equitable%20Bank+careers
Sun Life Global Investments,1.0,"My knowledge base confirms that Sun Life Global Investments is a division of Sun Life Financial, which operates in Canada. Sun Life Financial is a well-established financial services company in Canada, and its investment management division is actively involved in the Canadian market.",,,https://www.google.com/search?q=Sun%20Life%20Global%20Investments+careers
Manulife Investment Management,1.0,"My knowledge base confirms that Manulife Investment Management operates in Canada, as it is a division of Manulife Financial Corporation, which is headquartered in Toronto, Ontario. Manulife is a well-established financial services group in Canada, providing a range of investment management services.",,,https://www.google.com/search?q=Manulife%20Investment%20Management+careers
Mackenzie Investments,1.0,"My knowledge base confirms that Mackenzie Investments is a well-established financial services company operating in Canada. It is one of the largest investment management firms in the country, providing a range of investment solutions and services to Canadian investors.",,,https://www.google.com/search?q=Mackenzie%20Investments+careers
IGM Financial,1.0,"My knowledge base confirms that IGM Financial operates in Canada. It is a Canadian company and is one of the largest financial services companies in the country, providing investment management and financial planning services.",,,https://www.google.com/search?q=IGM%20Financial+careers
Guardian Capital Group,1.0,"My knowledge base confirms that Guardian Capital Group operates in Canada. It is a Canadian investment management firm based in Toronto, providing a range of financial services including asset management and investment advisory.",,,https://www.google.com/search?q=Guardian%20Capital%20Group+careers
CI Investments,1.0,"My knowledge base confirms that CI Investments is a Canadian investment management firm headquartered in Toronto, Ontario. It operates extensively within Canada, providing a range of investment solutions and services.",,,https://www.google.com/search?q=CI%20Investments+careers
Fiera Capital,1.0,"My knowledge base confirms that Fiera Capital is a Canadian investment management firm headquartered in Montreal, Quebec. It operates primarily in Canada and has a significant presence in the financial services sector within the country.",,,https://www.google.com/search?q=Fiera%20Capital+careers
"Connor, Clark & Lunn Financial Group",1.0,"My knowledge base confirms that Connor, Clark & Lunn Financial Group operates in Canada. It is a well-established financial services firm based in Canada, providing investment management and related services.",,,https://www.google.com/search?q=Connor%2C%20Clark%20%26%20Lunn%20Financial%20Group+careers
Burgundy Asset Management,1.0,"My knowledge base confirms that Burgundy Asset Management is a Canadian investment management firm based in Toronto, Canada. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Burgundy%20Asset%20Management+careers
Addenda Capital,1.0,"My knowledge base confirms that Addenda Capital is a Canadian investment management firm based in Montreal, Quebec. It operates primarily in Canada, providing investment solutions to institutional and retail clients.",,,https://www.google.com/search?q=Addenda%20Capital+careers
BC Investment Management Corporation (BCI),1.0,"My knowledge base confirms that BC Investment Management Corporation (BCI) operates in Canada, specifically as an investment management firm for public sector clients in British Columbia.",,,https://www.google.com/search?q=BC%20Investment%20Management%20Corporation%20%28BCI%29+careers
PSP Investments (Public Sector Pension Investment Board),1.0,"My knowledge base confirms that PSP Investments is a Canadian crown corporation that manages pension assets for the Public Service, Canadian Forces, and other public sector employees in Canada. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=PSP%20Investments%20%28Public%20Sector%20Pension%20Investment%20Board%29+careers
OPTrust,1.0,"My knowledge base confirms that OPTrust, which is the Ontario Public Service Employees Union Pension Trust, operates in Canada. It is a Canadian pension fund that manages the pension assets for the Ontario Public Service Employees Union (OPSEU) and is based in Toronto, Ontario.",,,https://www.google.com/search?q=OPTrust+careers
Brookfield Asset Management,1.0,"My knowledge base confirms that Brookfield Asset Management is a Canadian company headquartered in Toronto, Ontario. It operates in various sectors, including real estate, renewable energy, infrastructure, and private equity, and has a significant presence in Canada.",,,https://www.google.com/search?q=Brookfield%20Asset%20Management+careers
Desjardins Group,1.0,"My knowledge base confirms that Desjardins Group is a major financial services cooperative based in Canada, specifically in Quebec. It operates widely across the country, providing a range of financial services including banking, insurance, and investment services.",,,https://www.google.com/search?q=Desjardins%20Group+careers
First West Credit Union,1.0,"My knowledge base confirms that First West Credit Union operates in Canada, specifically in British Columbia. It is a well-known credit union serving members in that region, which solidifies its presence in the Canadian financial landscape.",,,https://www.google.com/search?q=First%20West%20Credit%20Union+careers
Vancity Credit Union,1.0,"My knowledge base confirms that Vancity Credit Union operates in Canada, specifically in British Columbia. It is a well-known credit union that provides various financial services to its members in the region.",,,https://www.google.com/search?q=Vancity%20Credit%20Union+careers
Servus Credit Union,1.0,"My knowledge base confirms that Servus Credit Union is a financial institution operating in Canada, specifically in Alberta. It provides a range of financial services, including banking and investment products, to its members.",,,https://www.google.com/search?q=Servus%20Credit%20Union+careers
Meridian Credit Union,1.0,"My knowledge base confirms that Meridian Credit Union is a prominent financial institution operating in Canada, specifically in Ontario, where it provides a range of financial services including banking, loans, and investment products.",,,https://www.google.com/search?q=Meridian%20Credit%20Union+careers
Coast Capital Savings,1.0,"Coast Capital Savings is a well-known credit union based in Canada, specifically operating in British Columbia. It provides a range of financial services including banking, investment, and insurance products to its members. Therefore, it is confirmed that Coast Capital Savings operates in Canada.",,,https://www.google.com/search?q=Coast%20Capital%20Savings+careers
DUCA Financial Services Credit Union,1.0,"My knowledge base confirms that DUCA Financial Services Credit Union operates in Canada, specifically in Ontario. It is a well-known credit union that provides various financial services to its members in the Canadian market.",,,https://www.google.com/search?q=DUCA%20Financial%20Services%20Credit%20Union+careers
Alterna Savings and Credit Union Limited (Alterna Bank),1.0,"My knowledge base confirms that Alterna Savings and Credit Union Limited, which operates as Alterna Bank, is a financial institution based in Canada. It provides various banking and financial services to Canadians, confirming its operation within the country.",,,https://www.google.com/search?q=Alterna%20Savings%20and%20Credit%20Union%20Limited%20%28Alterna%20Bank%29+careers
Haventree Bank,1.0,"My knowledge base confirms that Haventree Bank operates in Canada. It is a Canadian bank that provides various financial services, including mortgages and personal loans, primarily targeting the Canadian market.",,,https://www.google.com/search?q=Haventree%20Bank+careers
Bridgewater Bank,1.0,"My knowledge base confirms that Bridgewater Bank operates in Canada. It is a Canadian financial institution based in Alberta, providing various banking services.",,,https://www.google.com/search?q=Bridgewater%20Bank+careers
Concentra Bank,1.0,My knowledge base confirms that Concentra Bank operates in Canada. It is a Canadian financial institution that provides banking and financial services primarily to credit unions and their members across the country.,,,https://www.google.com/search?q=Concentra%20Bank+careers
Motus Bank,1.0,My knowledge base confirms that Motus Bank is a digital bank operating in Canada. It is a wholly-owned subsidiary of the Meridian Credit Union and provides various banking services to Canadian customers.,,,https://www.google.com/search?q=Motus%20Bank+careers
VersaBank,1.0,"My knowledge base confirms that VersaBank is a Canadian bank, headquartered in London, Ontario. It operates within Canada and provides various financial services, including banking and investment solutions.",,,https://www.google.com/search?q=VersaBank+careers
Home Trust Company,1.0,"My knowledge base confirms that Home Trust Company operates in Canada. It is a Canadian financial services company that provides various banking and investment products, including mortgages and savings accounts, primarily serving Canadian customers.",,,https://www.google.com/search?q=Home%20Trust%20Company+careers
First National Financial,1.0,"My knowledge base confirms that First National Financial operates in Canada. It is one of the largest non-bank mortgage lenders in the country, providing a range of financial services related to mortgages and real estate financing.",,,https://www.google.com/search?q=First%20National%20Financial+careers
Alignvest Investment Management,1.0,My knowledge base confirms that Alignvest Investment Management operates in Canada. The firm is based in Toronto and focuses on investment management services within the Canadian market.,,,https://www.google.com/search?q=Alignvest%20Investment%20Management+careers
Romspen Investment Corporation,1.0,"My knowledge base confirms that Romspen Investment Corporation is a Canadian private mortgage investment corporation based in Canada. It primarily focuses on providing financing solutions in the Canadian real estate market, indicating that it operates within Canada.",,,https://www.google.com/search?q=Romspen%20Investment%20Corporation+careers
ATB Investment Management,1.0,"My knowledge base confirms that ATB Investment Management is a subsidiary of ATB Financial, which is a financial institution based in Alberta, Canada. Therefore, it operates in Canada.",,,https://www.google.com/search?q=ATB%20Investment%20Management+careers
Montrusco Bolton Investments,1.0,"My knowledge base confirms that Montrusco Bolton Investments is a Canadian investment management firm based in Montreal, Quebec. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Montrusco%20Bolton%20Investments+careers
Mawer Investment Management,1.0,"My knowledge base confirms that Mawer Investment Management is a Canadian investment management firm based in Calgary, Alberta. It operates primarily in Canada and serves Canadian clients, making it certain that the company is operating in Canada.",,,https://www.google.com/search?q=Mawer%20Investment%20Management+careers
Jarislowsky Fraser,1.0,"My knowledge base confirms that Jarislowsky Fraser is a Canadian investment management firm based in Montreal, Quebec. It operates primarily in Canada and serves a range of clients, including institutional investors and high-net-worth individuals.",,,https://www.google.com/search?q=Jarislowsky%20Fraser+careers
Picton Mahoney Asset Management,1.0,"My knowledge base confirms that Picton Mahoney Asset Management is a Canadian investment management firm based in Toronto, Ontario. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Picton%20Mahoney%20Asset%20Management+careers
Burgundy Asset Management,1.0,"My knowledge base confirms that Burgundy Asset Management is a Canadian investment management firm based in Toronto, Ontario. It specializes in managing equity portfolios and operates within Canada.",,,https://www.google.com/search?q=Burgundy%20Asset%20Management+careers
Pembroke Management,1.0,"My knowledge base confirms that Pembroke Management operates in Canada, specifically as an investment management firm based in Montreal. They provide investment services and have a presence in the Canadian financial market.",,,https://www.google.com/search?q=Pembroke%20Management+careers
Brookfield Asset Management,1.0,"My knowledge base confirms that Brookfield Asset Management is a Canadian company headquartered in Toronto, Ontario. It operates in various sectors, including real estate, renewable energy, infrastructure, and private equity, and has a significant presence in Canada.",,,https://www.google.com/search?q=Brookfield%20Asset%20Management+careers
Dundee Securities,1.0,"My knowledge base confirms that Dundee Securities operates in Canada. It is a well-known investment firm based in Canada, providing various financial services including investment management and advisory services.",,,https://www.google.com/search?q=Dundee%20Securities+careers
Paradigm Capital,1.0,"My knowledge base confirms that Paradigm Capital is a Canadian investment firm based in Toronto, Ontario. It specializes in providing investment banking and advisory services, and therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Paradigm%20Capital+careers
Mackie Research Capital,1.0,"My knowledge base confirms that Mackie Research Capital is a Canadian investment dealer and operates within Canada, providing various financial services including investment banking and asset management.",,,https://www.google.com/search?q=Mackie%20Research%20Capital+careers
Laurentian Bank Securities,1.0,"My knowledge base confirms that Laurentian Bank Securities is a division of Laurentian Bank of Canada, which operates in Canada. Therefore, it is certain that Laurentian Bank Securities operates in Canada.",,,https://www.google.com/search?q=Laurentian%20Bank%20Securities+careers
Haywood Securities,1.0,"My knowledge base confirms that Haywood Securities is a Canadian investment dealer that operates in Canada, providing a range of financial services including investment banking and asset management.",,,https://www.google.com/search?q=Haywood%20Securities+careers
CIBC World Markets,1.0,"My knowledge base confirms that CIBC World Markets is a division of the Canadian Imperial Bank of Commerce (CIBC), which is one of Canada's largest financial institutions. Therefore, it operates in Canada.",,,https://www.google.com/search?q=CIBC%20World%20Markets+careers
GMP Securities,1.0,"My knowledge base confirms that GMP Securities operates in Canada. It is a well-known investment dealer based in Canada, providing a range of financial services including capital markets and investment banking.",,,https://www.google.com/search?q=GMP%20Securities+careers
Canaccord Genuity,1.0,"My knowledge base confirms that Canaccord Genuity operates in Canada, as it is a Canadian-based financial services firm with a significant presence in the country, providing investment banking, wealth management, and capital markets services.",,,https://www.google.com/search?q=Canaccord%20Genuity+careers
Desjardins Capital Markets,1.0,"My knowledge base confirms that Desjardins Capital Markets operates in Canada. It is a division of the Desjardins Group, which is one of the largest financial services cooperatives in Canada, primarily serving clients in the Canadian market.",,,https://www.google.com/search?q=Desjardins%20Capital%20Markets+careers
National Bank Financial,1.0,"My knowledge base confirms that National Bank Financial is a prominent financial services provider in Canada, operating as a subsidiary of National Bank of Canada. It offers a range of financial services, including investment and wealth management, and has a significant presence in the Canadian market.",,,https://www.google.com/search?q=National%20Bank%20Financial+careers
BMO Capital Markets,1.0,"My knowledge base confirms that BMO Capital Markets is a division of the Bank of Montreal (BMO), which is one of Canada's largest banks. BMO Capital Markets operates in Canada and provides a range of financial services, including investment banking, capital markets, and asset management.",,,https://www.google.com/search?q=BMO%20Capital%20Markets+careers
TD Securities,1.0,"My knowledge base confirms that TD Securities is a Canadian investment bank and a subsidiary of Toronto-Dominion Bank (TD Bank), which operates extensively in Canada. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=TD%20Securities+careers
RBC Capital Markets,1.0,"My knowledge base confirms that RBC Capital Markets is a division of the Royal Bank of Canada (RBC), which is one of the largest financial institutions in Canada. RBC Capital Markets operates extensively within Canada, providing a range of financial services including investment banking, capital markets, and asset management.",,,https://www.google.com/search?q=RBC%20Capital%20Markets+careers
Scotia Commodities,1.0,"My knowledge base confirms that Scotia Commodities is a division of Scotiabank, which operates extensively in Canada. Therefore, it is certain that Scotia Commodities operates in Canada as part of Scotiabank's offerings.",,,https://www.google.com/search?q=Scotia%20Commodities+careers
AGT Food and Ingredients,1.0,"My knowledge base confirms that AGT Food and Ingredients operates in Canada. The company is based in Saskatchewan and is involved in the processing and distribution of pulse and grain products, making it a significant player in the Canadian agricultural and food sector.",,,https://www.google.com/search?q=AGT%20Food%20and%20Ingredients+careers
Groupe Ferme Québec,1.0,"My knowledge base confirms that Groupe Ferme Québec operates in Canada, specifically in the province of Quebec, where it is involved in agricultural and food production activities.",,,https://www.google.com/search?q=Groupe%20Ferme%20Qu%C3%A9bec+careers
Parrish & Heimbecker,1.0,"My knowledge base confirms that Parrish & Heimbecker is a Canadian company that operates in the agricultural sector, including grain handling and marketing. They have a significant presence in Canada, making it clear that they operate within the country.",,,https://www.google.com/search?q=Parrish%20%26%20Heimbecker+careers
Richardson International,1.0,"My knowledge base confirms that Richardson International is a Canadian company, primarily involved in the agriculture and food industry, including grain handling and processing. It operates extensively within Canada, making it certain that the company is operating in Canada.",,,https://www.google.com/search?q=Richardson%20International+careers
Lantic Inc. (sugar trading),1.0,"My knowledge base confirms that Lantic Inc. operates in Canada, specifically in the sugar industry. It is a well-known Canadian company involved in sugar production and trading, with facilities and operations within the country.",,,https://www.google.com/search?q=Lantic%20Inc.%20%28sugar%20trading%29+careers
Methanex Corporation,1.0,"Methanex Corporation is a Canadian company that is the world's largest producer and supplier of methanol. It is headquartered in Vancouver, British Columbia, Canada, confirming its operations within the country.",,,https://www.google.com/search?q=Methanex%20Corporation+careers
Canpotex,1.0,"My knowledge base confirms that Canpotex, a Canadian potash marketing company, operates in Canada. It is involved in the export of potash from Saskatchewan and is well-established in the Canadian market.",,,https://www.google.com/search?q=Canpotex+careers
Inter Pipeline,1.0,"My knowledge base confirms that Inter Pipeline is a Canadian company, primarily involved in the transportation and storage of petroleum products. It operates extensively within Canada, making it certain that the company is operating in the country.",,,https://www.google.com/search?q=Inter%20Pipeline+careers
Cenovus Energy,1.0,"My knowledge base confirms that Cenovus Energy is a Canadian integrated oil and natural gas company headquartered in Calgary, Alberta. It operates primarily in Canada, making it certain that the company is operating in Canada.",,,https://www.google.com/search?q=Cenovus%20Energy+careers
PH&N Investment Services,1.0,"My knowledge base confirms that PH&N Investment Services, which is part of the RBC (Royal Bank of Canada) group, operates in Canada. RBC is one of the largest financial institutions in Canada, and PH&N is known for its investment management services within the Canadian market.",,,https://www.google.com/search?q=PH%26N%20Investment%20Services+careers
EdgePoint Wealth Management,1.0,"My knowledge base confirms that EdgePoint Wealth Management is a Canadian investment management firm that operates in Canada. They provide investment solutions and services primarily to Canadian clients, indicating a strong presence in the Canadian financial market.",,,https://www.google.com/search?q=EdgePoint%20Wealth%20Management+careers
Bridgewater Bank,1.0,"My knowledge base confirms that Bridgewater Bank operates in Canada. It is a Canadian financial institution based in Alberta, providing various banking services.",,,https://www.google.com/search?q=Bridgewater%20Bank+careers
Leith Wheeler Investment Counsel,1.0,"My knowledge base confirms that Leith Wheeler Investment Counsel is a Canadian investment management firm based in Vancouver, British Columbia. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Leith%20Wheeler%20Investment%20Counsel+careers
Picton Mahoney Asset Management,1.0,"My knowledge base confirms that Picton Mahoney Asset Management is a Canadian investment management firm based in Toronto, Ontario. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Picton%20Mahoney%20Asset%20Management+careers
Polar Asset Management Partners,1.0,"My knowledge base confirms that Polar Asset Management Partners is a Canadian investment management firm based in Toronto, Canada. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Polar%20Asset%20Management%20Partners+careers
Gluskin Sheff + Associates,1.0,"My knowledge base confirms that Gluskin Sheff + Associates is a Canadian investment management firm based in Toronto, Ontario. They provide wealth management and investment services primarily to high-net-worth individuals and institutions in Canada.",,,https://www.google.com/search?q=Gluskin%20Sheff%20%2B%20Associates+careers
Waratah Capital Advisors Ltd.,1.0,"My knowledge base confirms that Waratah Capital Advisors Ltd. operates in Canada, specifically in the investment management sector. The firm is based in Toronto, which indicates a strong presence in the Canadian financial market.",,,https://www.google.com/search?q=Waratah%20Capital%20Advisors%20Ltd.+careers
AlphaNorth Asset Management,1.0,"My knowledge base confirms that AlphaNorth Asset Management operates in Canada, specifically focusing on investment management services within the Canadian market.",,,https://www.google.com/search?q=AlphaNorth%20Asset%20Management+careers
PenderFund Capital Management,1.0,"My knowledge base confirms that PenderFund Capital Management is a Canadian investment management firm based in Vancouver, British Columbia. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=PenderFund%20Capital%20Management+careers
Lawrence Park Asset Management,1.0,"My knowledge base confirms that Lawrence Park Asset Management operates in Canada, specifically focusing on investment management services for Canadian clients.",,,https://www.google.com/search?q=Lawrence%20Park%20Asset%20Management+careers
Ewing Morris & Co. Investment Partners Ltd.,1.0,"My knowledge base confirms that Ewing Morris & Co. Investment Partners Ltd. operates in Canada, specifically as an investment management firm based in Toronto.",,,https://www.google.com/search?q=Ewing%20Morris%20%26%20Co.%20Investment%20Partners%20Ltd.+careers
Bristol Gate Capital Partners,1.0,"My knowledge base confirms that Bristol Gate Capital Partners operates in Canada. They are a Canadian investment management firm based in Toronto, specializing in equity investment strategies.",,,https://www.google.com/search?q=Bristol%20Gate%20Capital%20Partners+careers
Venator Capital Management Ltd.,1.0,"My knowledge base confirms that Venator Capital Management Ltd. operates in Canada, specifically in the financial services sector, providing investment management and advisory services.",,,https://www.google.com/search?q=Venator%20Capital%20Management%20Ltd.+careers
Hexavest Inc.,1.0,"My knowledge base confirms that Hexavest Inc. is a Canadian investment management firm based in Montreal, Quebec. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Hexavest%20Inc.+careers
GLC Asset Management,1.0,"My knowledge base confirms that GLC Asset Management operates in Canada. It is a Canadian investment management firm based in Winnipeg, Manitoba, and is known for providing investment solutions to various clients, including institutional investors and mutual funds.",,,https://www.google.com/search?q=GLC%20Asset%20Management+careers
Fidelity Investments Canada,1.0,,,,https://www.google.com/search?q=Fidelity%20Investments%20Canada+careers
Addenda Capital,1.0,"My knowledge base confirms that Addenda Capital is a Canadian investment management firm based in Montreal, Quebec. It operates primarily in Canada, providing investment solutions to institutional and retail clients.",,,https://www.google.com/search?q=Addenda%20Capital+careers
Letko Brosseau & Associates,1.0,"My knowledge base confirms that Letko Brosseau & Associates is a Canadian investment management firm based in Montreal, Quebec. Therefore, it is surely operating in Canada.",,,https://www.google.com/search?q=Letko%20Brosseau%20%26%20Associates+careers
Fiera Capital,1.0,"My knowledge base confirms that Fiera Capital is a Canadian investment management firm headquartered in Montreal, Quebec. It operates primarily in Canada and has a significant presence in the financial services sector within the country.",,,https://www.google.com/search?q=Fiera%20Capital+careers
Desjardins Asset Management,1.0,"My knowledge base confirms that Desjardins Asset Management operates in Canada, as it is part of the Desjardins Group, which is one of the largest financial services cooperatives in Canada.",,,https://www.google.com/search?q=Desjardins%20Asset%20Management+careers
Mackenzie Financial Corporation,1.0,"My knowledge base confirms that Mackenzie Financial Corporation is a well-established financial services company operating in Canada. It is one of the largest investment management firms in the country and is part of the IGM Financial group, which is also based in Canada.",,,https://www.google.com/search?q=Mackenzie%20Financial%20Corporation+careers
Foresters Asset Management,1.0,"My knowledge base confirms that Foresters Asset Management operates in Canada. The company is part of Foresters Financial, which has a significant presence in Canada, providing various financial services including asset management.",,,https://www.google.com/search?q=Foresters%20Asset%20Management+careers
Sun Life Global Investments,1.0,"My knowledge base confirms that Sun Life Global Investments is a division of Sun Life Financial, which operates in Canada. Sun Life Financial is a well-established financial services company in Canada, and its investment management division is also active in the Canadian market.",,,https://www.google.com/search?q=Sun%20Life%20Global%20Investments+careers
